service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
0010132830751b442261,1,1,1,1,0,1,1,20260312,20260702,"2026-03-12 → 07-02 (16 lun, 16 mar, 16 mer, 17 jeu, ven, 16 sam, 16 dim)"
006d006c3d4226331503,1,1,1,1,1,0,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 24 mer, 24 jeu, 23 ven)"
011916732b39176e290f,0,0,0,0,0,1,0,20260314,20260829,2026-03-14 → 08-29 (24 sam)
014129467731685b550f,0,0,0,0,1,0,0,20260313,20260327,2026-03-13 → 03-27 (3 ven)
0152085f2f520b7a043d,0,0,1,1,1,1,0,20260704,20260829,"2026-07-04 → 08-29 (8 mer, 8 jeu, 8 ven, 8 sam)"
016b6b4b5c614a265e57,0,0,0,0,0,1,1,20260314,20260831,"2026-03-14 → 08-31 (11 lun, 9 mar, 10 mer, 10 jeu, 10 ven, 24 sam, 25 dim)"
0171397731130f65340b,0,0,0,0,0,0,1,20260315,20260830,2026-03-15 → 08-30 (25 dim)
02070559307629202a09,0,0,0,0,0,1,0,20260704,20260829,2026-07-04 → 08-29 (8 sam)
021c0851324804471910,1,1,1,1,1,1,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 24 mer, 24 jeu, 23 ven, 12 sam)"
025608003536270a6346,1,1,1,1,1,1,0,20260401,20260831,"2026-04-01 → 08-31 (20 lun, 20 mar, 22 mer, 21 jeu, 20 ven, 21 sam)"
033606101b6277706b5d,1,0,0,0,0,0,0,20260413,20260629,2026-04-13 → 06-29 (9 lun)
033c1b6e6a016b1a0b4d,1,1,1,1,0,0,0,20260312,20260702,"2026-03-12 → 07-02 (12 lun, 14 mar, 14 mer, 14 jeu)"
04470b4a486a3a0d214f,1,1,1,1,1,0,0,20260312,20260529,"2026-03-12 → 05-29 (9 lun, 11 mar, 11 mer, 11 jeu, 10 ven)"
044a013c3e0064473d55,1,1,1,1,1,0,0,20260312,20260403,"2026-03-12 → 04-03 (3 lun, 3 mar, 3 mer, 4 jeu, 4 ven)"
046f7b430026516f677c,0,0,1,0,0,0,0,20260318,20260701,"2026-03-18 → 07-01 (16 mer, 2 ven)"
051d0e05132a181c2668,1,1,0,1,1,0,0,20260312,20260403,"2026-03-12 → 04-03 (3 lun, 3 mar, 4 jeu, 4 ven)"
052d71447f345b32316f,0,0,0,0,0,1,0,20260314,20260627,"2026-03-14 → 06-27 (2 mer, 16 sam)"
063d2e4806784e18637e,0,0,0,0,1,1,0,20260313,20260829,"2026-03-13 → 08-29 (23 ven, 24 sam)"
073d765e73437d7b122e,1,1,1,1,0,1,1,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 24 mar, 23 mer, 23 jeu, 11 ven, 25 sam, 13 dim)"
07712a16571e2a2c1731,1,0,0,0,0,0,0,20260316,20260629,"2026-03-16 → 06-29 (12 lun, 2 mar)"
08396639082b1e3e7139,1,1,1,1,1,0,1,20260312,20260831,"2026-03-12 → 08-31 (25 lun, 24 mar, 24 mer, 25 jeu, 24 ven, sam, 25 dim)"
086001327f3206356b66,0,0,0,0,1,0,0,20260313,20260831,"2026-03-13 → 08-31 (9 lun, 8 mar, 8 mer, 8 jeu, 23 ven, 9 sam, 9 dim)"
0880061f415a657a4a77,0,0,0,0,1,0,0,20260313,20260831,"2026-03-13 → 08-31 (9 lun, 7 mar, 8 mer, 8 jeu, 23 ven, 8 sam)"
090e3f54700212193638,1,1,1,1,1,0,0,20260401,20260703,"2026-04-01 → 07-03 (9 lun, 11 mar, 12 mer, 11 jeu, 11 ven)"
097411135b0328667564,0,0,0,0,0,0,1,20260508,20260628,"2026-05-08 → 06-28 (lun, jeu, ven, 8 dim)"
0a2c557d0d3c7f173848,1,1,1,1,1,0,0,20260316,20260831,"2026-03-16 → 08-31 (23 lun, 23 mar, 24 mer, 23 jeu, 22 ven)"
0a7a054e04097e34740b,0,0,0,0,0,1,0,20260314,20260404,2026-03-14 → 04-04 (4 sam)
0b3208416a056e5b075d,0,0,0,0,0,0,1,20260329,20260830,"2026-03-29 → 08-30 (2 lun, mar, jeu, ven, sam, 23 dim)"
0b55224a6a136b4a4067,1,1,0,1,1,0,0,20260312,20260324,"2026-03-12 → 03-24 (2 lun, 2 mar, 2 jeu, 2 ven)"
0c4d507b2f7948374f4d,1,1,0,1,1,1,0,20260312,20260831,"2026-03-12 → 08-31 (23 lun, 23 mar, 10 mer, 24 jeu, 23 ven, 24 sam)"
0d5e080e061c362c122f,0,1,0,1,0,0,0,20260312,20260702,"2026-03-12 → 07-02 (14 mar, 14 jeu)"
0f1d4650266467424b2c,0,0,1,0,0,0,0,20260318,20260701,2026-03-18 → 07-01 (16 mer)
0f262d5023666f47380f,1,1,1,1,1,1,1,20260312,20260831,"2026-03-12 → 08-31 (25 lun, 24 mar, 24 mer, 25 jeu, 24 ven, 25 sam, 25 dim)"
